instruction,input,output,
IPC Chapter 10,IPC Section 186,Obstructing a public servant in duty results in 3 months jail + fine.,
IPC Chapter 11,IPC Section 191,Giving false evidence in court is punishable with up to 7 years jail + fine.,
IPC Chapter 11,IPC Section 201,Causing disappearance of evidence of an offense leads to 7 years jail + fine.,
IPC Chapter 11,IPC Section 211,False charge of offense made with malicious intent leads to 7 years jail + fine.,
IPC Chapter 12,IPC Section 230,Counterfeiting coins is punishable with life imprisonment or 10 years jail + fine.,
IPC Chapter 12,IPC Section 239,Possession of counterfeit coins is punishable with 7 years jail + fine.,
IPC Chapter 12,IPC Section 255,Counterfeiting government stamps leads to 7 years jail + fine.,
IPC Chapter 13,IPC Section 264,Fraudulently using false weights or measures results in 1 year jail + fine.,
IPC Chapter 13,IPC Section 267,Making or possessing false weights or measures leads to 3 years jail + fine.,
IPC Chapter 14,IPC Section 268,Public nuisance is punishable with ₹200 fine.,
IPC Chapter 14,IPC Section 278,Polluting the atmosphere results in ₹500 fine.,
IPC Chapter 14,IPC Section 294,Obscene acts in public lead to 3 months jail + fine.,
IPC Chapter 15,IPC Section 295,Defiling a place of worship leads to 2 years jail + fine.,
IPC Chapter 15,IPC Section 295A,Deliberate acts to insult religion lead to 3 years jail + fine.,
IPC Chapter 15,IPC Section 298,Uttering words to hurt religious sentiments leads to 1 year jail + fine.,
IPC Chapter 16,IPC Section 302,Murder is punishable by life imprisonment or death penalty.,
IPC Chapter 16,IPC Section 307,Attempt to murder leads to life imprisonment or 10 years jail + fine.,
IPC Chapter 16,IPC Section 376,"Rape is punishable by a minimum of 10 years jail, extendable to life.",
IPC Chapter 17,IPC Section 378,Theft is punishable with up to 3 years jail or fine or both.,
IPC Chapter 17,IPC Section 379,Punishment for theft: 3 years jail + fine.,
IPC Chapter 17,IPC Section 390,Defines robbery as theft using force or fear.,
IPC Chapter 17,IPC Section 392,Robbery is punishable with up to 10 years jail + fine.,
IPC Chapter 17,IPC Section 395,Dacoity (5+ people committing robbery) is punishable with life imprisonment or 10 years jail + fine.,
IPC Chapter 17,IPC Section 403,Dishonest misappropriation of property leads to 2 years jail + fine.,
IPC Chapter 17,IPC Section 405,Criminal breach of trust is punishable with 3 years jail + fine.,
IPC Chapter 17,IPC Section 411,Receiving stolen property knowingly results in 3 years jail + fine.,
IPC Chapter 17,IPC Section 420,Cheating and dishonestly inducing delivery of property is punishable with 7 years jail + fine.,
IPC Chapter 18,IPC Section 463,Forgery is the making of false documents with intent to cheat.,
IPC Chapter 18,IPC Section 465,Forgery is punishable with 2 years jail + fine.,
IPC Chapter 18,IPC Section 468,Forgery for cheating is punishable with 7 years jail + fine.,
IPC Chapter 18,IPC Section 471,Using a forged document as genuine leads to same punishment as forgery.,
IPC Chapter 19,IPC Section 489A,Counterfeiting currency notes leads to life imprisonment or 10 years jail + fine.,
IPC Chapter 19,IPC Section 489B,Using counterfeit currency knowingly results in 10 years jail + fine.,
IPC Chapter 19,IPC Section 489E,Making or using forged banknotes is punishable with 7 years jail + fine.,
IPC Chapter 20,IPC Section 493,Deceiving a woman into marriage is punishable with 10 years jail + fine.,
IPC Chapter 20,IPC Section 494,Bigamy (marrying while spouse is alive) leads to 7 years jail + fine.,
IPC Chapter 20,IPC Section 498A,Cruelty by husband or relatives is punishable with 3 years jail + fine.,
IPC Chapter 21,IPC Section 499,Defamation is the act of harming someone's reputation.,
IPC Chapter 21,IPC Section 500,Punishment for defamation is 2 years jail + fine.,
IPC Chapter 21,IPC Section 502,Selling defamatory material leads to 2 years jail + fine.,
IPC Chapter 22,IPC Section 503,Criminal intimidation (threats of harm) is punishable with 2 years jail + fine.,
IPC Chapter 22,IPC Section 506,Threatening to cause death or harm leads to 7 years jail + fine.,
IPC Chapter 22,IPC Section 509,Insulting modesty of a woman is punishable with 3 years jail + fine.,
IPC Chapter 23,IPC Section 511,Attempting to commit an offense is punishable with half the punishment of the actual offense.,
IPC Chapter 17,IPC Section 421,Fraudulent removal of property to prevent creditors from recovering debt leads to 2 years jail + fine.,
IPC Chapter 17,IPC Section 425,Mischief (causing damage intentionally) is punishable with 3 months jail + fine.,
IPC Chapter 17,IPC Section 427,Causing damage of ₹50 or more leads to 2 years jail + fine.,
IPC Chapter 17,IPC Section 431,"Mischief by causing damage to public roads, bridges, or riverbanks leads to 5 years jail + fine.",
IPC Chapter 17,IPC Section 436,Mischief by fire or explosive substances with intent to destroy a building is punishable with life imprisonment or 10 years jail + fine.,
IPC Chapter 17,IPC Section 441,Criminal trespass is when a person unlawfully enters another’s property.,
IPC Chapter 17,IPC Section 447,Punishment for criminal trespass is 3 months jail + fine.,
IPC Chapter 17,IPC Section 457,Trespassing into a house at night with intent to commit an offense leads to 5 years jail + fine.,
IPC Chapter 18,IPC Section 474,Possession of a forged document intending to use it as genuine is punishable with 7 years jail + fine.,
IPC Chapter 18,IPC Section 477A,Falsification of accounts to defraud is punishable with 7 years jail + fine.,
IPC Chapter 19,IPC Section 488,Making or possessing counterfeit coins is punishable with 7 years jail + fine.,
IPC Chapter 20,IPC Section 497,Adultery (now decriminalized in 2018) was previously punishable with 5 years jail + fine.,
IPC Chapter 20,IPC Section 498,Enticing or taking away a married woman with intent to commit adultery is punishable with 2 years jail + fine.,
IPC Chapter 22,IPC Section 504,Intentional insult to provoke breach of peace is punishable with 2 years jail + fine.,
IPC Chapter 22,IPC Section 508,Inducing a person to act against their will by using threats leads to 1 year jail + fine.,
CrPC Chapter 1,CrPC Section 1,Title and extent: The Code applies to the whole of India.,
CrPC Chapter 1,CrPC Section 2,"Definitions: Defines key terms like bailable offense, charge, cognizable offense, police report, etc.",
CrPC Chapter 1,CrPC Section 3,Construction of references: Explains how to interpret words used in CrPC.,
CrPC Chapter 1,CrPC Section 4,Application of CrPC to offenses under IPC and other laws.,
CrPC Chapter 1,CrPC Section 5,Saving of special laws: Special laws override CrPC in case of conflicts.,
CrPC Chapter 2,CrPC Section 6,"Hierarchy of criminal courts: Courts are divided into Sessions Court, Magistrate Courts, and Special Courts.",
CrPC Chapter 2,CrPC Section 9,Court of Session: Each district has a Sessions Judge appointed by the High Court.,
CrPC Chapter 2,CrPC Section 11,Judicial Magistrates: The State Government can establish Judicial Magistrate courts in districts.,
CrPC Chapter 2,CrPC Section 12,Chief Judicial Magistrate: A senior magistrate supervises all magistrates in a district.,
CrPC Chapter 2,CrPC Section 20,Executive Magistrates: District Magistrates (DM) and other magistrates are appointed by the government.,
CrPC Chapter 3,CrPC Section 26,Courts authorized to try offenses: Sessions Court and Magistrate Court have jurisdiction based on crime severity.,
CrPC Chapter 3,CrPC Section 29,"Sentencing power of Magistrates: Chief Magistrate - up to 7 years jail, First-Class Magistrate - up to 3 years, Second-Class Magistrate - up to 1 year.",
CrPC Chapter 4,CrPC Section 36,Superior police officers can exercise the same powers as subordinates.,
CrPC Chapter 4,CrPC Section 39,Public's duty to inform police about offenses.,
CrPC Chapter 5,CrPC Section 41,"When police can arrest without a warrant (for cognizable offenses like murder, rape, etc.).",
CrPC Chapter 5,CrPC Section 41A,"Notice before arrest: For minor offenses, police must issue a notice instead of arrest.",
CrPC Chapter 5,CrPC Section 50,Person arrested must be informed of the reason for arrest and their right to bail.,
CrPC Chapter 5,CrPC Section 54,Medical examination of an arrested person.,
CrPC Chapter 5,CrPC Section 57,Person cannot be detained for more than 24 hours without court permission.,
CrPC Chapter 6,CrPC Section 61,Form and contents of summons: Summons must be clear and specific.,
CrPC Chapter 6,CrPC Section 70,Warrant of arrest must be in writing and signed by the magistrate.,
CrPC Chapter 6,CrPC Section 80,Procedure for arresting a person outside jurisdiction.,
CrPC Chapter 7,CrPC Section 91,Police or courts can demand the production of documents.,
CrPC Chapter 7,CrPC Section 100,Searches must be conducted in the presence of witnesses.,
CrPC Chapter 8,CrPC Section 107,Executive Magistrate can demand security for keeping peace.,
CrPC Chapter 8,CrPC Section 110,Habitual offenders can be required to provide security for good behavior.,
CrPC Chapter 9,CrPC Section 125,"Wives, children, and parents can claim maintenance from those who have means to support them.",
CrPC Chapter 9,CrPC Section 127,Alteration of maintenance order if financial conditions change.,
CrPC Chapter 10,CrPC Section 129,Unlawful assemblies may be dispersed by police using force.,
CrPC Chapter 10,CrPC Section 144,Magistrate can prohibit public gatherings for maintaining peace.,
CrPC Chapter 11,CrPC Section 149,Police must prevent cognizable offenses before they occur.,
CrPC Chapter 11,CrPC Section 151,Police can arrest without a warrant to prevent an offense.,
CrPC Chapter 12,CrPC Section 154,FIR (First Information Report) must be registered for cognizable offenses.,
CrPC Chapter 12,CrPC Section 161,Police can examine witnesses during an investigation.,
CrPC Chapter 12,CrPC Section 164,Confessions and statements must be recorded before a Magistrate.,
CrPC Chapter 13,CrPC Section 177,A case must be tried in the jurisdiction where the offense occurred.,
CrPC Chapter 14,CrPC Section 190,Magistrates have the power to take cognizance of offenses.,
CrPC Chapter 15,CrPC Section 200,Magistrate must examine complainant under oath before proceeding.,
CrPC Chapter 16,CrPC Section 204,Magistrate may issue summons or warrants for trial.,
CrPC Chapter 17,CrPC Section 211,Every charge must state the specific offense and relevant law.,
CrPC Chapter 18,CrPC Section 225,Public Prosecutor conducts trials in a Sessions Court.,
CrPC Chapter 19,CrPC Section 239,"If no sufficient ground exists, accused is discharged.",
CrPC Chapter 20,CrPC Section 251,Accused must be informed of the charge before trial begins.,
CrPC Chapter 21,CrPC Section 260,Magistrates can conduct summary trials for minor offenses.,
CrPC Chapter 22,CrPC Section 267,Court can require production of a prisoner for trial.,
CrPC Chapter 23,CrPC Section 273,Evidence must be taken in presence of the accused.,
CrPC Chapter 24,CrPC Section 300,A person cannot be tried twice for the same offense (Double Jeopardy).,
CrPC Chapter 25,CrPC Section 328,"If accused is of unsound mind, trial is postponed.",
CrPC Chapter 26,CrPC Section 374,Appeals against convictions go to higher courts.,
CrPC Chapter 27,CrPC Section 397,High Court has power of revision over lower court decisions.,
CrPC Chapter 28,CrPC Section 413,Execution of death sentence requires confirmation by High Court.,
CrPC Chapter 29,CrPC Section 437,Bail in non-bailable offenses is subject to court discretion.,
CrPC Chapter 30,CrPC Section 482,High Courts have inherent powers to prevent abuse of process.,
Answer this question,What does Article 351 of the Indian Constitution direct?,"Article 351 of the Indian Constitution directs the Union to promote the spread of the Hindi language, develop it as a medium of expression for all elements of the composite culture of India, and secure its enrichment. This is to be achieved by assimilating forms, style, and expressions used in Hindustani and other languages specified in the Eighth Schedule, without interfering with the language's genius. The article also directs the Union to draw primarily on Sanskrit and secondarily on other languages for Hindi's vocabulary, if necessary or desirable.",
Answer this question,What is the purpose of a Proclamation of Emergency under Article 352 of the Indian Constitution?,"A Proclamation of Emergency under Article 352 of the Indian Constitution is issued by the President when a grave emergency exists that threatens the security of India or any part of its territory due to war, external aggression, armed rebellion, or imminent danger of such events. The Proclamation aims to empower the President and the Union government to take necessary measures to protect the nation's security and maintain stability during such emergency situations.",
Answer this question,"How can a Proclamation of Emergency be issued, varied, or revoked under Article 352?","Under Article 352, the President can issue a Proclamation of Emergency if satisfied that a grave emergency exists. The President can also vary or revoke a Proclamation through a subsequent Proclamation. However, the President cannot issue, vary, or revoke a Proclamation unless the Union Cabinet's decision to do so has been communicated to him in writing. Every Proclamation must be laid before each House of Parliament, and it will cease to operate at the expiration of one month unless approved by resolutions of both Houses of Parliament.",
Answer this question,What are the effects of a Proclamation of Emergency as per Article 353?,"As per Article 353 of the Indian Constitution, when a Proclamation of Emergency is in effect, the executive power of the Union extends to giving directions to any State regarding the exercise of its executive power, and the power of Parliament to make laws with respect to any matter includes conferring powers and imposing duties on the Union or its officers and authorities. This allows the Union government to take necessary actions and make laws on matters that may not be covered under the Union List to address the emergency situation.",
Answer this question,How does Article 354 affect the distribution of revenues during a Proclamation of Emergency?,"Article 354 of the Indian Constitution allows the President to direct that all or any provisions of Articles 268 to 279, which deal with the distribution of revenues between the Union and the States, have effect with certain exceptions or modifications for a specified period during a Proclamation of Emergency. The period cannot extend beyond the expiration of the financial year in which the Proclamation ceases to operate. This provision helps the Union government to allocate financial resources more effectively during an emergency.",
Answer this question,"What is the meaning of the Explanation provided in Article 352, Clause (1) of the Indian Constitution?","The Explanation provided in Article 352, Clause (1) of the Indian Constitution clarifies that a Proclamation of Emergency can be made before the actual occurrence of war, external aggression, or armed rebellion if the President is satisfied that there is imminent danger of such events. This allows the President to act proactively and take necessary measures to protect the nation's security even before a crisis unfolds.",
Answer this question,What is the majority required for passing a resolution in either House of Parliament regarding a Proclamation of Emergency under Article 352?,"As per Article 352, Clauses (6) and (7), a resolution regarding a Proclamation of Emergency can be passed by either House of Parliament only by a majority of the total membership of that House and by a majority of not less than two-thirds of the Members of that House present and voting. This provision ensures broad support for the continuation or revocation of a Proclamation of Emergency in the Parliament.",
Answer this question,How can the President revoke a Proclamation of Emergency issued under Article 352?,"According to Article 352, Clause (7), the President must revoke a Proclamation of Emergency issued under Clause (1) or a Proclamation varying such Proclamation if the House of the People passes a resolution disapproving, or disapproving the continuance in force of, such Proclamation. This clause ensures that the President cannot maintain a Proclamation of Emergency if the lower house of Parliament expresses its disapproval.",
Answer this question,"What is the special sitting of the House of the People mentioned in Article 352, Clause (8)?","The special sitting of the House of the People mentioned in Article 352, Clause (8) refers to a situation where a notice in writing, signed by not less than one-tenth of the total members of the House of the People, has been given of their intention to move a resolution disapproving a Proclamation of Emergency or its continuance in force. In such cases, a special sitting of the House shall be held within fourteen days from the date the notice is received by the Speaker or the President to consider the resolution. This provision ensures timely discussion and decision-making on Proclamations of Emergency in the Parliament.",
Answer this question,Can the President issue multiple Proclamations of Emergency under Article 352?,"Yes, according to Article 352, Clause (9), the power conferred on the President includes the ability to issue different Proclamations of Emergency on different grounds like war, external aggression, armed rebellion, or imminent danger of such events. This can be done whether or not there is already a Proclamation issued under Clause (1) and in operation. This clause allows the President to address multiple emergencies simultaneously, if necessary.",
Answer this question,What is the significance of the Eighth Schedule of the Indian Constitution?,"The Eighth Schedule of the Indian Constitution lists the official languages recognized by the Indian government. These languages are used for official communication and administrative purposes. The Eighth Schedule is important because it promotes linguistic diversity and cultural heritage in India by ensuring that multiple languages are recognized and used for official purposes. As mentioned in Article 351, the development of the Hindi language should draw from the forms, style, and expressions used in the languages specified in the Eighth Schedule.",
Answer this question,"What is the role of the Commission constituted under Article 344, Clause (1)?","The Commission constituted under Article 344, Clause (1) of the Indian Constitution is responsible for making recommendations on matters related to the official language policy of the Union. The President must take into consideration the recommendations of this Commission before giving his sanction for the introduction of a Bill or amendment related to the language for any of the purposes mentioned in Article 348, Clause (1), as stated in Article 349.",
Answer this question,"What is the Committee constituted under Article 344, Clause (4)?","The Committee constituted under Article 344, Clause (4) of the Indian Constitution is appointed by the President to examine the recommendations made by the Commission constituted under Clause (1) of Article 344 and to report on the implementation of those recommendations. The President must take into consideration the report of this Committee before giving his sanction for the introduction of a Bill or amendment related to the language for any of the purposes mentioned in Article 348, Clause (1), as stated in Article 349.",
Answer this question,What is the duration of a Proclamation of Emergency if not approved by both Houses of Parliament?,"According to Article 352, Clause (4), if a Proclamation of Emergency is not approved by resolutions of both Houses of Parliament, it will cease to operate at the expiration of one month from the date it was issued. This provision ensures that a Proclamation of Emergency cannot remain in force without the consent of the Parliament.",
Answer this question,What happens if the House of the People is dissolved during a Proclamation of Emergency?,"If the House of the People is dissolved during a Proclamation of Emergency, as per Article 352, Clause (4), the Proclamation shall cease to operate at the expiration of thirty days from the date on which the House of the People first sits after its reconstitution, unless a resolution approving the Proclamation has been passed by the House of the People before the expiration of that period. This provision ensures that a Proclamation of Emergency cannot continue without the approval of the newly constituted House of the People.",
Answer this question,What is the special provision for the administration of Tuensang district in the State of Nagaland?,"According to the Constitution of India, the special provision for the administration of the Tuensang district in the State of Nagaland is that, for a period of ten years or any further period as specified by the Governor, the administration of the Tuensang district shall be carried on by the Governor. The Governor has the discretion to allocate money provided by the Government of India between the Tuensang district and the rest of the State, and no Act of the Nagaland Legislature shall apply to Tuensang district unless the Governor directs so on the recommendation of the regional council.",
Answer this question,How is the Minister for Tuensang affairs appointed?,The Minister for Tuensang affairs is appointed by the Governor on the advice of the Chief Minister. The Chief Minister should tender his advice based on the recommendation of the majority of the members representing the Tuensang district in the Legislative Assembly of Nagaland.,
Answer this question,What is the role of the Minister for Tuensang affairs?,"The Minister for Tuensang affairs is responsible for dealing with all matters relating to the Tuensang district. The Minister has direct access to the Governor on these matters. However, the Minister is required to keep the Chief Minister informed about these matters.",
Answer this question,What is the final decision-making authority on matters relating to the Tuensang district?,"The final decision on all matters relating to the Tuensang district shall be made by the Governor in his discretion, as per the Constitution of India.",
Answer this question,What is the special provision with respect to the State of Assam?,"The special provision with respect to the State of Assam allows the President to provide for the constitution and functions of a committee of the Legislative Assembly of the State, consisting of members of that Assembly elected from the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule, and such number of other members of that Assembly as specified in the order. The President may also provide for modifications to be made in the rules of procedure of that Assembly for the constitution and proper functioning of such committee.",
Answer this question,What is the special provision with respect to the State of Manipur?,"The special provision with respect to the State of Manipur allows the President to provide for the constitution and functions of a committee of the Legislative Assembly of the State, consisting of members of that Assembly elected from the Hill Areas of that State, for modifications to be made in the rules of business of the Government and in the rules of procedure of the Legislative Assembly of the State, and for any special responsibility of the Governor to secure the proper functioning of such committee. The Governor is required to make a report to the President regarding the administration of the Hill Areas in the State of Manipur, and the executive power of the Union extends to giving directions to the State on the administration of these areas.",
Answer this question,What does the term 'Hill Areas' mean in the context of special provision for the State of Manipur?,"In the context of the special provision for the State of Manipur, the term 'Hill Areas' refers to such areas as the President may, by order, declare to be Hill areas.",
Answer this question,What are the special provisions with respect to the State of Andhra Pradesh?,"The special provisions with respect to the State of Andhra Pradesh allow the President to provide for equitable opportunities and facilities for people belonging to different parts of the State in matters of public employment and education. The President may require the State Government to organize various civil service posts into different local cadres for different parts of the State, specify the local area for direct recruitment to posts under the State Government and local authorities, and specify the preferences or reservations to be given to candidates who have resided or studied in the local area.",
Answer this question,What is the Administrative Tribunal for the State of Andhra Pradesh?,"The Administrative Tribunal for the State of Andhra Pradesh is a body established by the President to exercise jurisdiction, powers, and authority over matters related to appointments, allotments, promotions, seniority, and other conditions of service in the civil service of the State, civil posts under the State, and posts under the control of any local authority within the State. The order of the Administrative Tribunal disposing of a case becomes effective upon confirmation by the State Government or on the expiry of three months from the date it is made, whichever is earlier.",
Answer this question,Can the State Government modify or annul any order of the Administrative Tribunal for the State of Andhra Pradesh?,"Yes, the State Government can modify or annul any order of the Administrative Tribunal for the State of Andhra Pradesh before it becomes effective, by making a special order in writing and specifying the reasons for such modification or annulment. In such a case, the order of the Administrative Tribunal will have effect only in the modified form or be of no effect, as specified by the State Government.",
Answer this question,What are the powers of the High Court for the State of Andhra Pradesh in relation to the Administrative Tribunal?,"The High Court for the State of Andhra Pradesh does not have any powers of superintendence over the Administrative Tribunal. No court (other than the Supreme Court) or tribunal shall exercise any jurisdiction, power, or authority in respect of any matter subject to the jurisdiction, power, or authority of, or in relation to, the Administrative Tribunal.",
Answer this question,What is the role of the President in case of any difficulty in giving effect to the provisions of the Constitution of India regarding special provisions for the State of Nagaland?,"In case of any difficulty in giving effect to the provisions of the Constitution of India regarding special provisions for the State of Nagaland, the President may, by order, do anything (including any adaptation or modification of any other article) which appears to him to be necessary for the purpose of removing that difficulty. However, no such order shall be made after the expiration of three years from the date of the formation of the State of Nagaland.",
Answer this question,"What is the meaning of 'Kohima, Mokokchung, and Tuensang districts' in the context of the Constitution of India?","In the context of the Constitution of India, the Kohima, Mokokchung, and Tuensang districts have the same meanings as in the State of Nagaland Act, 1962.",
Answer this question,What is the role of the regional council in the administration of Tuensang district in the State of Nagaland?,"The regional council plays a crucial role in the administration of the Tuensang district in the State of Nagaland. The council makes recommendations to the Governor on various matters, including the application of Acts of the Nagaland Legislature to the Tuensang district, exceptions or modifications in the application of such Acts, and the allocation of funds provided by the Government of India. The Governor takes actions based on the recommendations of the regional council.",
Answer this question,What is the period during which the Governor administers the Tuensang district in the State of Nagaland?,"The Governor administers the Tuensang district in the State of Nagaland for a period of ten years from the date of the formation of the State or for any further period as the Governor may specify on the recommendation of the regional council, by public notification.",
Answer this question,What is the role of the Governor in the allocation of funds provided by the Government of India to the State of Nagaland?,"The Governor, in his discretion, is responsible for arranging an equitable allocation of funds provided by the Government of India between the Tuensang district and the rest of the State of Nagaland.",
Answer this question,What is the role of the Governor in the application of Acts of the Nagaland Legislature to the Tuensang district?,"The Governor has the authority to decide whether an Act of the Nagaland Legislature applies to the Tuensang district or not, based on the recommendation of the regional council. The Governor may also direct that the Act shall have effect in the Tuensang district or any part thereof subject to such exceptions or modifications as specified on the recommendation of the regional council.",
Answer this question,Can the Governor make regulations for the Tuensang district in the State of Nagaland?,"Yes, the Governor has the authority to make regulations for the peace, progress, and good government of the Tuensang district in the State of Nagaland. The regulations made by the Governor may repeal or amend, with retrospective effect if necessary, any Act of Parliament or any other law that is applicable to the district.",
Answer this question,What is the effect of directions given by the Governor with respect to Acts of the Nagaland Legislature applicable to the Tuensang district?,"The directions given by the Governor with respect to Acts of the Nagaland Legislature applicable to the Tuensang district may have retrospective effect, and the Governor may direct that the Act shall have effect in its application to the Tuensang district or any part thereof subject to such exceptions or modifications as specified on the recommendation of the regional council.",
Answer this question,What are the three lists mentioned in the Constitution of India that determine the distribution of legislative powers between the Union and the States?,"The three lists mentioned in the Constitution of India that determine the distribution of legislative powers between the Union and the States are the Union List (List I), the State List (List II), and the Concurrent List (List III). These lists are enumerated in the Seventh Schedule of the Constitution. The Union List contains subjects on which only Parliament has the exclusive power to legislate. The State List consists of subjects on which the Legislature of a State has exclusive power to make laws. The Concurrent List includes subjects on which both Parliament and the State Legislatures have the power to legislate.",
Answer this question,What is the process for Parliament to legislate on a matter in the State List in the national interest?,"For Parliament to legislate on a matter in the State List in the national interest, the Council of States (Rajya Sabha) must pass a resolution, supported by not less than two-thirds of the members present and voting, declaring that it is necessary or expedient in the national interest that Parliament should make laws with respect to the specified matter. Once the resolution is passed, it is lawful for Parliament to make laws for the whole or any part of India with respect to that matter while the resolution remains in force. The resolution remains in force for a period not exceeding one year, but it can be extended by passing another resolution in the same manner (Article 249).",
Answer this question,What happens if there is inconsistency between laws made by Parliament and laws made by the Legislatures of States?,"If there is inconsistency between laws made by Parliament and laws made by the Legislatures of States, the law made by Parliament prevails. The law made by the State Legislature becomes inoperative to the extent of the repugnancy, but only as long as the law made by Parliament continues to have effect (Article 251). If the State law has been reserved for the consideration of the President and has received his assent, it will prevail in that State (Article 254). However, Parliament can still enact a new law with respect to the same matter, and the new law will prevail over the State law.",
Answer this question,Can Parliament make laws for implementing international agreements?,"Yes, Parliament has the power to make laws for the whole or any part of the territory of India for implementing any treaty, agreement, or convention with any other country or countries, or any decision made at any international conference, association, or other body (Article 253). This power is notwithstanding any of the other provisions of the Constitution related to legislative relations between the Union and the States.",
Answer this question,What is the obligation of States and the Union regarding the compliance with laws made by Parliament?,The executive power of every State is obligated to be exercised in a manner that ensures compliance with the laws made by Parliament and any existing laws that apply in that State. The executive power of the Union extends to giving directions to a State as may appear to the Government of India to be necessary for ensuring compliance with the laws made by Parliament (Article 256).,
